age,sex,prob
0,Male,0.006383
1,Male,0.000453
2,Male,0.00028199999999999997
3,Male,0.00022999999999999998
4,Male,0.000169
5,Male,0.000155
6,Male,0.000145
7,Male,0.000135
8,Male,0.00011999999999999999
9,Male,0.000105
10,Male,9.4e-05
11,Male,9.9e-05
12,Male,0.000134
13,Male,0.000207
14,Male,0.000309
15,Male,0.00041900000000000005
16,Male,0.00053
17,Male,0.000655
18,Male,0.000791
19,Male,0.0009339999999999999
20,Male,0.001085
21,Male,0.001228
22,Male,0.0013390000000000001
23,Male,0.001403
24,Male,0.001433
25,Male,0.001451
26,Male,0.001475
27,Male,0.0015019999999999999
28,Male,0.001538
29,Male,0.0015810000000000002
30,Male,0.001626
31,Male,0.0016690000000000001
32,Male,0.0017120000000000002
33,Male,0.001755
34,Male,0.0018
35,Male,0.001855
36,Male,0.0019199999999999998
37,Male,0.0019879999999999997
38,Male,0.00206
39,Male,0.002141
40,Male,0.00224
41,Male,0.002362
42,Male,0.002509
43,Male,0.002684
44,Male,0.0028899999999999998
45,Male,0.003121
46,Male,0.003386
47,Male,0.0037070000000000002
48,Male,0.004091
49,Male,0.004531
50,Male,0.005013
51,Male,0.005524
52,Male,0.006059
53,Male,0.006611
54,Male,0.007187000000000001
55,Male,0.0078
56,Male,0.008456
57,Male,0.009144
58,Male,0.009865
59,Male,0.010622
60,Male,0.011458
61,Male,0.01235
62,Male,0.013235
63,Male,0.014097
64,Male,0.014979
65,Male,0.015967
66,Male,0.017109
67,Male,0.018392
68,Male,0.019836000000000003
69,Male,0.021465
70,Male,0.023351
71,Male,0.025481999999999998
72,Male,0.027794
73,Male,0.030282
74,Male,0.033022
75,Male,0.036201
76,Male,0.039858
77,Male,0.043891
78,Male,0.048311
79,Male,0.053228
80,Male,0.058897000000000005
81,Male,0.06536499999999999
82,Male,0.072491
83,Male,0.080288
84,Male,0.088916
85,Male,0.098576
86,Male,0.10943800000000001
87,Male,0.121619
88,Male,0.135176
89,Male,0.150109
90,Male,0.166397
91,Male,0.183997
92,Male,0.202855
93,Male,0.22291100000000003
94,Male,0.244094
95,Male,0.26509099999999997
96,Male,0.285508
97,Male,0.30492600000000003
98,Male,0.322919
99,Male,0.339065
100,Male,0.356018
101,Male,0.373819
102,Male,0.39250999999999997
103,Male,0.41213500000000003
104,Male,0.432742
105,Male,0.454379
106,Male,0.47709799999999997
107,Male,0.500953
108,Male,0.526
109,Male,0.5523
110,Male,0.579915
111,Male,0.608911
112,Male,0.639357
113,Male,0.671325
114,Male,0.7048909999999999
115,Male,0.740135
116,Male,0.777142
117,Male,0.815999
118,Male,0.856799
119,Male,0.899639
0,Female,0.005374
1,Female,0.00035299999999999996
2,Female,0.000231
3,Female,0.000165
4,Female,0.000129
5,Female,0.00011599999999999999
6,Female,0.00010700000000000001
7,Female,0.000101
8,Female,9.6e-05
9,Female,9.2e-05
10,Female,9.1e-05
11,Female,9.6e-05
12,Female,0.00011100000000000001
13,Female,0.000138
14,Female,0.000174
15,Female,0.00021400000000000002
16,Female,0.000254
17,Female,0.000294
18,Female,0.00033
19,Female,0.000364
20,Female,0.000399
21,Female,0.000436
22,Female,0.000469
23,Female,0.0004969999999999999
24,Female,0.000522
25,Female,0.000546
26,Female,0.000572
27,Female,0.000604
28,Female,0.000644
29,Female,0.0006900000000000001
30,Female,0.00074
31,Female,0.000792
32,Female,0.0008410000000000001
33,Female,0.000886
34,Female,0.0009289999999999999
35,Female,0.000977
36,Female,0.001034
37,Female,0.001098
38,Female,0.0011710000000000002
39,Female,0.001253
40,Female,0.001347
41,Female,0.001452
42,Female,0.0015710000000000001
43,Female,0.0017059999999999998
44,Female,0.001857
45,Female,0.002022
46,Female,0.002204
47,Female,0.002411
48,Female,0.002648
49,Female,0.0029100000000000003
50,Female,0.003193
51,Female,0.0034909999999999997
52,Female,0.0038009999999999997
53,Female,0.004118999999999999
54,Female,0.004449
55,Female,0.0048130000000000004
56,Female,0.005201
57,Female,0.005582999999999999
58,Female,0.005952000000000001
59,Female,0.006325
60,Female,0.006749
61,Female,0.007238
62,Female,0.007776000000000001
63,Female,0.008368
64,Female,0.009032
65,Female,0.009794
66,Female,0.010673
67,Female,0.011676
68,Female,0.012815
69,Female,0.014105000000000001
70,Female,0.015616
71,Female,0.017318
72,Female,0.019118
73,Female,0.020996
74,Female,0.023033
75,Female,0.025412999999999998
76,Female,0.028197000000000003
77,Female,0.031313
78,Female,0.034782
79,Female,0.038689
80,Female,0.043258
81,Female,0.04849
82,Female,0.054223
83,Female,0.06044600000000001
84,Female,0.067338
85,Female,0.075133
86,Female,0.08403300000000001
87,Female,0.094177
88,Female,0.10563299999999999
89,Female,0.118407
90,Female,0.132476
91,Female,0.147801
92,Female,0.164331
93,Female,0.18201199999999998
94,Female,0.200783
95,Female,0.21975799999999998
96,Female,0.23863
97,Female,0.257065
98,Female,0.274706
99,Female,0.291189
100,Female,0.30866
101,Female,0.32718
102,Female,0.34681
103,Female,0.36761900000000003
104,Female,0.389676
105,Female,0.41305699999999995
106,Female,0.43783999999999995
107,Female,0.46411099999999994
108,Female,0.491957
109,Female,0.521475
110,Female,0.552763
111,Female,0.585929
112,Female,0.621085
113,Female,0.65835
114,Female,0.697851
115,Female,0.739722
116,Female,0.777142
117,Female,0.815999
118,Female,0.856799
119,Female,0.899639
